Sea_area,Observation Date,Temperature,Salinity,Dissolved Oxygen,Phosphate Phosphorus,Nitrous Acid Nitrogen,Nitric Acid Nitrogen,Silicic Acid Silicon
서해,2002-08,23.98,31.618,5.03,0.24,0.06,1.17,5.12
서해,2002-08,25.02,31.773000000000003,,,,,
서해,2002-08,25.37,31.626,4.72,0.28,0.1,0.2,3.64
서해,2002-08,25.24,31.628,,,,,
서해,2002-08,24.59,31.745,4.77,0.28,0.11,1.46,2.81
서해,2002-08,24.33,31.38,5.04,,,,
서해,2002-08,25.14,31.624,4.89,,,,
서해,2002-08,25.1,31.523000000000003,4.77,0.39,0.16,0.12,5.23
서해,2002-08,25.41,31.647,,,,,
서해,2002-08,25.81,31.783,4.67,0.32,0.17,0.44,1.45
서해,2002-08,25.85,31.829,,,,,
서해,2002-08,25.7,31.799,4.84,0.39,0.05,0.25,3.0
서해,2002-08,25.54,31.736,,,,,
서해,2002-08,24.56,31.498,4.89,0.37,0.05,0.62,6.06
서해,2002-08,24.76,31.048,,,,,
서해,2002-08,24.35,31.319000000000006,4.55,0.57,0.56,1.83,9.04
동해,2002-08,18.71,32.68,4.66,0.36,0.31,3.94,6.85
서해,2002-08,24.33,30.626,4.68,0.46,0.24,3.87,9.4
동해,2002-08,19.93,32.68,4.67,,,,
동해,2002-08,20.88,33.35,4.65,0.35,0.36,3.63,6.02
서해,2002-08,23.43,31.529,,,,,
서해,2002-08,24.58,31.398000000000003,5.08,0.92,0.07,0.61,4.0
동해,2002-08,20.18,32.64,4.8,,,,
서해,2002-08,24.59,31.275,,,,,
동해,2002-08,22.4,32.97,4.54,0.45,0.32,3.86,4.56
서해,2002-08,25.07,31.597,4.77,0.47,0.12,0.94,9.59
서해,2002-08,25.07,31.597,,,,,
동해,2002-08,21.81,32.16,4.73,,,,
서해,2002-08,25.74,31.952,4.74,0.43,0.04,1.2,13.01
동해,2002-08,21.64,32.36,5.54,0.69,0.2,3.26,4.34
서해,2002-08,25.66,32.036,,,,,
서해,2002-08,25.65,31.695,4.8,0.38,0.05,0.98,11.51
서해,2002-08,25.66,31.916,4.75,,,,
동해,2002-08,23.14,32.85,4.43,0.24,0.34,2.74,3.83
동해,2002-08,23.22,32.88,4.56,,,,
서해,2002-08,25.34,31.994,4.95,,,,
동해,2002-08,22.5,32.51,4.7,0.25,0.21,3.88,4.44
서해,2002-08,25.4,31.956,4.93,0.51,0.16,0.7,1.53
서해,2002-08,25.08,31.65,,,,,
동해,2002-08,22.21,32.57,4.64,,,,
서해,2002-08,24.79,31.642,4.93,0.49,0.08,0.43,3.22
동해,2002-08,21.7,32.79,4.71,0.33,0.44,3.4,5.81
서해,2002-08,24.61,31.465,,,,,
서해,2002-08,23.81,31.354,5.42,0.5,0.08,1.15,4.99
동해,2002-08,22.14,32.57,4.69,,,,
서해,2002-08,21.64,31.707,,,,,
동해,2002-08,21.63,33.1,4.7,0.27,0.35,3.7,7.0
동중국해,2002-08,26.98,30.25,4.93,0.77,0.57,2.17,2.75
서해,2002-08,22.12,31.977,4.73,0.98,0.24,6.64,16.48
동해,2002-08,19.58,32.93,4.84,,,,
동해,2002-08,19.16,32.73,4.93,0.35,0.34,4.82,6.35
동중국해,2002-08,27.56,30.42,4.97,,,,
동해,2002-08,18.47,32.77,4.86,0.41,0.36,,6.76
동중국해,2002-08,27.92,29.76,4.77,0.56,0.44,2.34,2.59
동중국해,2002-08,27.81,30.25,4.8,,,,
동중국해,2002-08,27.89,30.31,4.93,0.49,0.43,0.56,3.43
동중국해,2002-08,27.72,30.26,5.1,,,,
동중국해,2002-08,27.61,28.56,5.55,0.4,0.38,0.89,2.16
동중국해,2002-08,27.77,29.43,5.14,,,,
동중국해,2002-08,27.36,29.17,5.86,0.24,0.44,2.76,4.09
동중국해,2002-08,26.89,29.76,5.22,0.22,0.64,3.29,3.91
동중국해,2002-08,26.99,26.92,5.9,0.7,0.81,2.24,3.6
동중국해,2002-08,26.6,27.26,5.62,0.61,0.18,2.1,2.18
동중국해,2002-08,26.82,28.07,5.9,,,,
동중국해,2002-08,26.87,28.33,5.86,0.53,0.81,0.13,19.65
동중국해,2002-08,26.9,29.28,5.4,,,,
동중국해,2002-08,27.08,28.38,5.45,0.25,0.8,1.32,1.85
동중국해,2002-08,27.53,29.17,4.78,,,,
동중국해,2002-08,27.56,29.11,5.02,0.24,0.11,2.96,2.2
동중국해,2002-08,27.31,29.46,5.09,,,,
동중국해,2002-08,26.94,31.68,5.02,0.09,0.07,1.37,2.42
동중국해,2002-08,27.57,32.27,5.55,0.08,0.18,1.24,2.84
동중국해,2002-08,27.14,32.28,4.49,0.06,0.17,12.24,6.07
동중국해,2002-08,27.13,32.22,4.87,0.07,0.11,0.34,6.78
동중국해,2002-08,26.79,30.14,5.89,,,,
동중국해,2002-08,27.01,28.88,5.74,0.1,0.09,3.35,2.44
동중국해,2002-08,26.89,29.12,5.09,,,,
동중국해,2002-08,26.73,27.72,5.08,0.04,0.16,3.06,4.0
동중국해,2002-08,26.2,25.44,5.17,,,,
동중국해,2002-08,26.52,25.31,5.15,0.11,0.28,7.17,5.07
동중국해,2002-08,26.86,27.47,5.36,,,,
동해,2002-08,19.03,32.66,4.84,0.48,0.29,,7.07
동해,2002-08,19.6,32.6,4.87,,,,
동중국해,2002-08,26.19,21.65,6.04,0.38,0.27,3.89,4.2
동해,2002-08,20.23,32.75,4.68,0.42,0.29,2.08,6.89
동해,2002-08,21.06,32.87,4.65,,,,
동중국해,2002-08,26.16,22.82,6.18,0.38,0.2,4.25,5.86
동해,2002-08,21.68,32.26,4.68,0.42,0.22,2.62,5.59
서해,2002-08,19.59,31.97,,,,,
서해,2002-08,19.04,31.996,5.55,0.65,0.36,2.11,11.12
동해,2002-08,21.74,32.57,4.69,,,,
서해,2002-08,19.66,31.828000000000007,,,,,
동해,2002-08,22.15,32.56,4.69,0.34,0.18,2.54,5.64
서해,2002-08,23.8,31.603,4.92,0.56,0.12,0.79,2.5
동해,2002-08,22.98,32.93,4.63,,,,
서해,2002-08,24.55,31.22,,,,,
서해,2002-08,24.48,31.329,4.96,0.51,0.18,0.41,3.76
동해,2002-08,23.11,32.99,4.44,0.37,0.17,2.7,5.49
동해,2002-08,23.42,33.12,4.31,0.26,0.13,2.93,5.21
서해,2002-08,24.52,31.43,4.79,,,,
서해,2002-08,23.63,30.783,4.9,0.64,0.06,0.49,6.55
동해,2002-08,22.59,32.5,4.18,,,,
서해,2002-08,22.32,30.684,,,,,
동해,2002-08,22.43,32.47,4.16,0.37,0.24,3.87,6.39
서해,2002-08,20.16,31.763,5.52,0.61,0.03,1.13,9.18
서해,2002-08,24.4,29.237,,,,,
동해,2002-08,21.95,32.47,4.17,,,,
서해,2002-08,24.74,28.403,4.88,0.4,0.25,1.19,5.52
동해,2002-08,22.41,32.34,3.81,0.36,0.22,2.34,6.05
서해,2002-08,24.99,28.428,,,,,
동해,2002-08,20.5,32.87,4.65,,,,
서해,2002-08,25.23,28.256,5.05,0.16,0.33,1.05,5.54
서해,2002-08,25.09,28.871,,,,,
동해,2002-08,20.54,31.85,4.68,0.31,0.3,4.2,6.05
동해,2002-08,19.94,31.97,4.69,,,,
서해,2002-08,24.52,31.43,4.79,,,,
동해,2002-08,22.29,31.34,4.53,0.55,0.26,,7.39
동해,2002-08,22.48,31.9,4.26,,,,
동해,2002-08,22.32,33.99,4.15,0.49,0.39,3.76,6.86
동해,2002-08,24.74,32.54,4.13,,,,
동해,2002-08,25.61,32.98,4.13,,,,
동해,2002-08,23.19,31.85,4.18,0.45,0.23,2.96,6.84
동해,2002-08,22.49,31.76,4.26,,,,
동해,2002-08,22.91,32.3,4.12,,,,
동해,2002-08,22.45,31.78,4.13,0.51,0.22,2.96,7.25
동해,2002-08,22.26,31.15,4.12,,,,
동해,2002-08,22.92,32.08,4.09,0.2,0.36,3.11,6.29
동해,2002-08,22.22,31.87,4.18,,,,
동해,2002-08,22.89,31.98,4.09,0.28,0.33,2.34,6.02
동해,2002-08,24.62,32.98,4.18,,,,
동해,2002-08,24.3,33.0,4.17,0.34,0.12,2.82,5.96
동해,2002-08,24.88,33.4,4.11,,,,
동해,2002-08,24.24,33.61,4.15,0.23,0.11,2.76,3.99
동해,2002-08,24.01,33.45,4.15,,,,
동해,2002-08,22.56,31.93,4.13,0.49,0.43,3.15,3.31
동해,2002-08,24.43,32.95,4.22,,,,
동해,2002-08,22.76,32.19,4.12,0.26,0.1,3.48,5.91
동해,2002-08,21.12,32.06,4.19,,,,
동해,2002-08,22.27,31.9,4.07,0.27,0.36,3.66,5.55
동해,2002-08,22.26,31.93,4.14,,,,
남해,2003-08,23.71,29.75,5.4,0.4,0.26,4.77,7.79
남해,2003-08,24.78,31.894,5.38,,,,
남해,2003-08,26.24,31.785,5.3,0.31,0.19,5.47,8.59
서해,2003-08,19.27,31.023000000000003,6.52,0.2,0.77,8.66,4.03
서해,2003-08,22.12,30.875,,,,,
남해,2003-08,26.56,31.618,5.42,0.38,0.15,3.08,8.76
서해,2003-08,23.43,30.695,6.13,0.01,0.18,1.79,4.52
남해,2003-08,25.97,31.707,5.55,,,,
서해,2003-08,23.44,31.486,5.4,0.02,0.19,2.2,2.52
서해,2003-08,23.5,30.487,,,,,
남해,2003-08,23.46,31.403,5.75,0.3,0.12,4.34,6.78
서해,2003-08,28.63,30.526,6.08,0.01,0.16,2.24,5.18
남해,2003-08,18.33,33.068000000000005,5.72,0.37,0.11,4.49,5.07
서해,2003-08,23.6,31.556,,,,,
남해,2003-08,25.3,31.103,5.75,0.36,0.12,4.3,5.62
서해,2003-08,23.44,31.486,5.4,0.02,0.19,2.2,2.52
남해,2003-08,25.08,31.114,5.52,0.42,0.14,0.42,8.44
서해,2003-08,23.36,31.798,5.33,,,,
남해,2003-08,25.35,31.761,5.39,,,,
남해,2003-08,26.89,31.259,4.88,,,,
남해,2003-08,27.8,30.411,4.6,0.27,0.16,4.14,7.48
서해,2003-08,23.92,31.604,5.43,,,,
남해,2003-08,27.49,31.018,4.9,,,,
서해,2003-08,23.63,31.457,5.21,0.28,0.3,1.86,2.73
서해,2003-08,23.48,31.624,,,,,
남해,2003-08,28.04,30.211,4.67,,,,
서해,2003-08,23.57,31.305,5.74,0.06,0.2,2.19,2.95
남해,2003-08,28.82,30.067,4.7,0.25,0.17,2.32,5.48
서해,2003-08,23.7,31.223000000000006,,,,,
남해,2003-08,28.39,29.958,4.73,,,,
서해,2003-08,23.7,31.208,5.26,0.11,0.08,1.53,2.82
남해,2003-08,27.43,30.814,4.87,0.25,0.16,2.1,8.17
서해,2003-08,24.22,31.263,,,,,
남해,2003-08,26.51,31.764,4.99,,,,
서해,2003-08,24.29,31.361,5.47,0.06,0.09,1.3,2.14
남해,2003-08,26.08,31.847,5.14,0.46,0.12,1.81,8.02
서해,2003-08,22.08,29.017,,,,,
남해,2003-08,25.96,31.57,5.06,,,,
서해,2003-08,22.38,28.161,6.49,0.09,0.53,5.25,11.13
남해,2003-08,25.25,31.818,5.45,0.37,0.11,6.23,0.37
남해,2003-08,25.76,31.954,5.32,,,,
서해,2003-08,23.72,27.58,,0.07,0.45,5.38,9.68
서해,2003-08,23.21,31.332,,,,,
동해,2003-08,21.07,32.738,4.27,0.4,0.34,4.33,5.23
서해,2003-08,24.16,31.155,5.51,0.05,0.18,0.47,3.69
동해,2003-08,20.47,33.134,3.82,,,,
동해,2003-08,20.09,33.394,4.29,0.39,0.4,3.99,4.4
서해,2003-08,24.63,31.02,,,,,
남해,2003-08,24.13,31.719,5.02,0.22,0.14,5.16,10.7
동해,2003-08,20.28,33.076,4.42,,,,
서해,2003-08,24.49,31.089,5.31,0.03,0.19,1.8,2.23
남해,2003-08,23.53,31.659,5.23,,,,
서해,2003-08,24.74,31.111,,,,,
서해,2003-08,24.74,31.111,,,,,
동해,2003-08,22.55,32.922,4.34,0.5,0.35,4.25,2.94
남해,2003-08,25.64,31.188,4.97,0.2,0.14,5.03,8.93
서해,2003-08,24.71,31.383000000000006,5.18,0.07,0.11,1.91,2.3
동해,2003-08,23.43,32.08,4.5,,,,
서해,2003-08,24.71,31.305,,,,,
서해,2003-08,24.76,31.355,5.53,0.09,0.21,2.31,1.84
동해,2003-08,24.02,32.28,3.96,0.76,0.22,3.59,2.72
서해,2003-08,24.84,31.179,4.97,,,,
서해,2003-08,25.09,31.554,5.46,,,,
동해,2003-08,22.94,33.653,4.51,0.26,0.37,3.01,2.21
동해,2003-08,23.39,32.854,4.41,,,,
서해,2003-08,24.82,31.349,5.19,0.3,0.37,1.49,3.43
서해,2003-08,24.89,31.401,,,,,
동해,2003-08,24.18,32.409,4.25,0.28,0.23,4.27,2.82
서해,2003-08,24.65,31.537,5.46,0.07,0.25,0.36,5.76
동해,2003-08,24.03,32.461,4.34,,,,
서해,2003-08,24.83,31.484,,,,,
남해,2003-08,26.37,30.518,4.87,0.33,0.12,1.78,5.03
서해,2003-08,24.07,31.597,5.52,0.03,0.17,0.34,4.71
동해,2003-08,23.94,32.391,3.75,0.36,0.48,3.74,4.19
남해,2003-08,27.4,30.043000000000006,4.8,,,,
서해,2003-08,24.02,31.501,,,,,
동해,2003-08,23.3,32.678000000000004,4.39,,,,
서해,2003-08,23.1,31.003,5.38,0.35,0.15,1.86,10.83
남해,2003-08,27.8,30.986,4.69,0.18,0.1,3.68,5.93
동해,2003-08,22.86,33.228,3.59,0.3,0.39,4.07,5.38
남해,2003-08,27.73,31.726,4.67,,,,
동해,2003-08,20.3,33.097,4.79,,,,
서해,2003-08,21.91,31.885,,,,,
동해,2003-08,20.37,33.236,4.84,0.39,0.37,5.3,4.73
서해,2003-08,22.44,31.958,5.76,0.51,0.13,1.46,8.63
동해,2003-08,21.26,33.049,4.72,0.45,0.4,,5.14
남해,2003-08,28.34,31.152,4.67,0.22,0.13,6.51,6.29
남해,2003-08,28.46,30.915,4.62,,,,
남해,2003-08,28.36,31.08,4.45,0.13,0.18,3.78,4.29
남해,2003-08,27.49,30.71,4.4,,,,
동해,2003-08,21.44,32.907,4.46,,,,
동해,2003-08,21.17,33.046,4.21,,,,
남해,2003-08,27.25,30.723000000000006,4.49,0.11,0.12,4.38,6.19
동해,2003-08,20.59,33.021,4.7,0.46,0.32,2.29,5.27
남해,2003-08,26.19,30.964,4.92,,,,
동해,2003-08,22.72,32.789,4.55,,,,
남해,2003-08,26.43,30.669,4.95,0.14,0.17,3.69,9.8
서해,2003-08,19.39,32.054,,,,,
동해,2003-08,24.48,31.374,4.37,0.46,0.24,2.88,3.97
남해,2003-08,26.35,30.193,4.99,,,,
서해,2003-08,22.98,31.542,5.91,0.13,0.62,0.57,5.68
동해,2003-08,24.29,32.26,4.39,,,,
남해,2003-08,26.47,28.504,5.11,0.12,0.13,5.18,8.64
서해,2003-08,25.05,31.065,,,,,
서해,2003-08,25.38,31.104,4.93,0.48,0.15,0.78,5.01
동해,2003-08,24.1,32.698,3.9,0.37,0.2,2.79,4.02
남해,2003-08,27.36,25.693,5.21,,,,
서해,2003-08,25.17,31.07,5.24,,,,
동해,2003-08,24.02,32.515,3.95,,,,
동해,2003-08,24.17,32.803000000000004,4.34,0.41,0.19,2.97,3.87
남해,2003-08,26.33,30.787,4.72,,,,
서해,2003-08,25.69,31.238000000000003,5.03,,,,
남해,2003-08,26.73,28.341,5.13,0.19,0.17,2.87,7.01
서해,2003-08,22.99,30.861,5.09,0.13,0.23,,4.25
남해,2003-08,27.0,26.574,5.2,,,,
동해,2003-08,24.03,32.747,4.36,,,,
서해,2003-08,25.41,30.554,,,,,
남해,2003-08,27.05,26.117,5.04,0.21,0.14,8.07,8.07
서해,2003-08,24.75,30.785,5.08,0.16,0.16,0.9,3.88
남해,2003-08,26.78,27.019,4.92,,,,
동해,2003-08,23.76,32.876,4.36,,,,
동해,2003-08,23.8,32.847,4.34,,,,
남해,2003-08,26.89,26.492,4.93,0.11,0.18,4.91,7.95
서해,2003-08,21.59,31.897,,,,,
동해,2003-08,23.8,32.847,4.34,,,,
남해,2003-08,26.29,28.993,4.99,,,,
서해,2003-08,22.78,32.42,5.55,0.22,0.25,0.75,6.23
남해,2003-08,25.91,30.189,4.88,0.13,0.22,2.66,7.83
서해,2003-08,22.38,31.574,,,,,
남해,2003-08,25.64,30.964,5.08,,,,
서해,2003-08,22.22,32.491,5.57,0.16,0.18,2.7,5.44
동해,2003-08,24.13,32.75,4.22,,,,
남해,2003-08,25.49,30.865,5.06,0.18,0.12,2.49,10.16
서해,2003-08,24.39,30.745,,,,,
동해,2003-08,24.62,32.292,4.28,,,,
남해,2003-08,25.61,30.489,5.11,,,,
남해,2003-08,20.25,32.219,5.47,0.15,0.14,3.45,11.56
동해,2003-08,24.59,32.141,4.34,,,,
남해,2003-08,20.94,32.217,5.53,0.26,5.49,5.24,10.33
남해,2003-08,20.25,32.219,5.47,0.15,0.14,3.45,11.56
동해,2003-08,23.92,33.141,4.02,0.29,0.14,3.22,3.59
남해,2003-08,24.18,30.708,5.45,0.41,0.28,5.22,13.65
동해,2003-08,24.17,32.93,4.37,,,,
남해,2003-08,24.25,31.009,5.53,0.3,0.31,5.04,17.13
동해,2003-08,24.08,32.486999999999995,4.39,0.41,0.26,4.26,4.77
동해,2003-08,24.77,31.728,4.39,,,,
동해,2003-08,25.46,30.994,4.37,0.4,0.24,2.57,4.43
동해,2003-08,23.57,31.743,4.44,,,,
동해,2003-08,22.11,32.086,4.11,0.34,0.33,4.62,4.43
동해,2003-08,22.84,31.958,3.92,,,,
동해,2003-08,22.62,32.478,4.53,,,,
동해,2003-08,23.97,31.601,4.3,,,,
동해,2003-08,23.97,31.626,4.28,,,,
동해,2003-08,23.53,31.811,4.41,0.24,0.32,3.29,3.93
동해,2003-08,24.45,31.364,4.05,,,,
동해,2003-08,24.12,32.109,4.09,0.23,0.09,3.13,4.29
동해,2003-08,24.83,31.8,3.96,,,,
동해,2003-08,23.9,32.46,4.38,0.44,0.39,2.84,1.69
동해,2003-08,23.81,32.899,4.07,,,,
동해,2003-08,23.84,32.415,3.7,0.21,0.1,2.48,2.37
동해,2003-08,23.98,32.498000000000005,4.36,,,,
동해,2003-08,23.54,32.767,4.0,0.31,0.11,2.54,4.34
동해,2003-08,23.38,32.621,3.79,,,,
동해,2003-08,23.48,32.393,4.4,0.25,0.3,2.11,4.4
동해,2003-08,24.38,31.201,4.33,,,,
동해,2003-08,24.3,31.713,3.81,0.18,0.32,2.8,4.67
동해,2003-08,24.0,31.5,4.37,,,,
동해,2003-08,23.92,31.238000000000003,4.4,,,,
동해,2003-08,25.13,30.954,4.06,,,,
동해,2003-08,24.91,30.92,4.06,,,,
동해,2003-08,24.65,31.143,4.31,0.46,0.2,2.66,5.63
동해,2003-08,24.46,32.387,3.84,,,,
동해,2003-08,24.56,32.839,3.83,0.41,0.21,2.66,5.22
동해,2003-08,24.52,32.65,4.22,,,,
동해,2003-08,24.87,32.303000000000004,4.09,,,,
동해,2003-08,25.71,31.511,4.2,0.44,0.35,3.38,5.24
동해,2003-08,24.97,31.39,3.77,,,,
동해,2003-08,24.44,31.006,3.89,0.5,0.23,,5.77
동중국해,2003-08,28.39,31.657,3.94,0.61,0.2,2.87,4.21
동중국해,2003-08,28.03,32.501,4.78,0.46,0.11,2.75,3.24
동중국해,2003-08,28.23,30.975,5.25,,,,
동중국해,2003-08,27.62,28.668000000000006,4.87,0.48,0.22,1.37,1.6
동중국해,2003-08,27.3,28.378,5.34,,,,
동중국해,2003-08,28.03,32.501,4.78,0.46,0.11,2.75,3.24
동중국해,2003-08,28.17,29.948,5.49,0.27,0.1,1.47,3.97
동중국해,2003-08,28.9,30.192,5.51,,,,
동중국해,2003-08,28.93,30.706,5.84,0.33,0.1,2.34,1.76
동중국해,2003-08,28.96,29.823,6.05,,,,
동중국해,2003-08,29.53,31.916,4.82,0.38,0.03,2.89,3.1
동중국해,2003-08,29.5,32.015,4.65,0.41,0.1,1.48,3.15
동중국해,2003-08,28.84,30.498,5.06,0.14,0.08,2.15,9.2
동중국해,2003-08,28.63,30.32,5.22,,,,
동중국해,2003-08,28.13,30.689,4.72,0.33,0.04,3.45,7.78
동중국해,2003-08,28.04,28.226,6.2,,,,
동중국해,2003-08,27.81,29.076,5.31,0.13,0.06,2.39,3.23
동중국해,2003-08,27.81,27.678,6.27,,,,
동중국해,2003-08,27.55,27.298,5.65,0.11,0.21,6.38,2.29
동중국해,2003-08,27.7,29.23,5.62,,,,
동중국해,2003-08,28.13,28.972,5.56,0.17,0.1,2.13,3.13
동중국해,2003-08,28.38,30.189,4.91,0.33,0.12,2.73,3.37
동중국해,2003-08,28.1,29.149,5.41,0.36,0.03,2.7,4.52
동중국해,2003-08,27.64,28.772,5.55,0.05,0.05,2.11,3.07
동중국해,2003-08,28.51,27.426,4.98,,,,
동중국해,2003-08,28.19,27.195,5.62,0.11,0.31,8.68,3.86
동중국해,2003-08,28.05,26.184,5.13,,,,
동중국해,2003-08,28.54,25.789,5.04,0.33,0.15,1.48,2.17
동중국해,2003-08,28.39,29.801,5.14,,,,
동중국해,2003-08,28.47,30.755,5.24,0.3,0.12,0.01,2.07
동중국해,2003-08,28.3,30.85,5.09,,,,
동중국해,2003-08,28.86,32.443000000000005,4.7,0.05,0.02,1.59,3.23
동중국해,2003-08,28.25,31.742,4.97,0.02,0.08,2.98,3.42
남해,2004-08,26.08,31.036,6.01,0.08,0.21,2.4,5.29
남해,2004-08,27.46,30.813,6.02,,,,
남해,2004-08,27.01,31.27,4.81,0.02,0.14,0.78,4.11
남해,2004-08,27.45,31.431,5.06,0.04,0.2,2.53,5.19
남해,2004-08,24.31,32.275,5.32,,,,
남해,2004-08,21.47,33.262,5.51,0.25,0.23,5.68,9.82
남해,2004-08,20.43,33.906,5.72,,,,
남해,2004-08,25.81,32.765,4.91,0.11,0.11,1.47,5.95
남해,2004-08,24.06,33.09,5.0,,,,
남해,2004-08,22.28,33.341,4.82,,,,
남해,2004-08,24.81,32.819,5.01,,,,
남해,2004-08,25.21,31.221,4.93,0.06,0.26,5.36,5.79
남해,2004-08,25.49,31.991,5.01,,,,
남해,2004-08,26.01,30.994,4.73,,,,
남해,2004-08,26.81,30.924,4.65,0.03,0.24,2.48,7.31
남해,2004-08,26.79,30.198,4.84,,,,
남해,2004-08,26.54,32.354,5.15,0.05,0.13,1.31,5.74
서해,2004-08,28.32,31.51,4.67,0.1,0.1,1.31,2.45
남해,2004-08,22.74,33.312,5.34,0.08,0.14,4.72,9.6
서해,2004-08,19.94,30.511,5.7,0.18,0.77,6.49,7.32
남해,2004-08,26.06,33.083,5.24,,,,
남해,2004-08,26.4,33.163000000000004,6.53,,,,
서해,2004-08,24.42,30.903,5.73,,,,
남해,2004-08,25.13,33.161,5.63,,,,
서해,2004-08,26.58,30.755,5.64,0.15,0.03,1.72,4.2
남해,2004-08,27.15,33.574,5.13,,,,
남해,2004-08,27.83,32.981,6.42,0.09,0.24,2.64,5.4
서해,2004-08,26.89,30.573,,,,,
남해,2004-08,28.11,32.782,5.82,,,,
서해,2004-08,27.02,31.189,5.05,0.09,0.07,1.56,2.67
남해,2004-08,28.01,32.132,5.01,0.02,0.23,4.27,6.44
서해,2004-08,28.32,31.51,4.67,0.1,0.1,1.31,2.45
남해,2004-08,29.1,32.039,5.53,,,,
서해,2004-08,27.85,31.258000000000006,5.75,,,,
남해,2004-08,27.22,33.905,5.42,0.07,0.21,2.38,7.41
남해,2004-08,25.38,32.641,5.27,0.02,0.28,6.79,10.08
남해,2004-08,28.87,31.83,5.28,,,,
서해,2004-08,28.34,31.602,5.43,,,,
남해,2004-08,28.2,33.989000000000004,4.63,0.04,0.19,4.93,6.8
남해,2004-08,29.12,32.411,4.73,,,,
남해,2004-08,29.54,32.776,4.7,0.07,0.32,5.99,3.46
서해,2004-08,28.19,31.699,4.75,0.15,0.15,2.35,3.26
남해,2004-08,29.01,32.961,4.72,,,,
서해,2004-08,28.14,31.675,,,,,
서해,2004-08,28.17,31.773000000000003,4.65,0.1,0.01,0.72,3.14
남해,2004-08,29.21,33.038000000000004,4.68,0.05,0.15,3.01,2.85
서해,2004-08,27.7,31.623,4.62,,,,
서해,2004-08,26.36,30.846,5.2,0.61,0.04,1.02,3.18
남해,2004-08,29.46,32.846,4.72,,,,
서해,2004-08,27.48,31.6,,,,,
남해,2004-08,28.68,32.865,4.89,0.06,0.1,6.09,6.77
서해,2004-08,26.68,31.299,4.76,0.15,0.06,0.92,2.34
서해,2004-08,22.54,31.438,,,,,
남해,2004-08,29.35,30.502,4.7,,,,
서해,2004-08,23.68,30.648000000000003,5.55,0.17,0.02,1.18,6.75
남해,2004-08,29.79,30.312,4.69,0.05,0.27,8.5,6.59
남해,2004-08,29.99,25.966,5.04,,,,
남해,2004-08,29.95,26.086,5.02,0.03,0.52,9.65,2.78
남해,2004-08,31.48,25.704,5.04,,,,
남해,2004-08,28.82,30.488000000000003,4.73,,,,
남해,2004-08,29.26,29.723000000000006,4.99,0.04,0.31,3.74,1.2
남해,2004-08,29.43,29.429,4.88,,,,
남해,2004-08,28.96,29.462,4.85,0.07,0.34,4.92,3.43
남해,2004-08,29.22,30.54,4.75,,,,
남해,2004-08,29.33,30.246,4.91,0.06,0.17,2.51,3.32
남해,2004-08,29.09,29.545,4.93,,,,
남해,2004-08,29.13,30.41,4.82,0.03,0.25,2.79,4.78
남해,2004-08,28.91,31.291,4.63,,,,
서해,2004-08,28.82,31.573,4.54,,,,
서해,2004-08,23.51,30.083,5.42,0.09,0.15,0.87,5.25
서해,2004-08,26.3,31.477,5.11,,,,
서해,2004-08,28.23,31.296,4.48,0.1,0.05,1.19,2.53
서해,2004-08,28.41,31.288,,,,,
서해,2004-08,28.49,31.278,4.63,0.1,0.11,1.03,1.79
서해,2004-08,28.47,31.475,,,,,
서해,2004-08,28.57,31.393,4.49,0.11,0.03,1.06,2.74
서해,2004-08,28.92,31.503,4.47,,,,
서해,2004-08,28.81,31.514,4.64,0.16,0.02,1.7,1.37
서해,2004-08,28.82,31.573,4.54,,,,
서해,2004-08,29.14,31.426,4.33,,,,
서해,2004-08,28.67,31.36,4.61,0.11,0.04,2.07,2.46
서해,2004-08,28.49,31.34,,,,,
서해,2004-08,28.91,31.459,4.76,0.19,0.17,2.32,2.9
서해,2004-08,28.58,31.534,,,,,
서해,2004-08,28.23,31.836,4.51,0.19,0.03,1.22,5.49
서해,2004-08,28.04,31.916,5.42,,,,
서해,2004-08,23.24,32.216,5.6,0.14,0.09,2.75,8.07
서해,2004-08,22.16,32.657,5.52,,,,
서해,2004-08,22.35,32.576,5.37,0.1,0.06,2.65,6.69
서해,2004-08,29.14,31.426,4.33,,,,
남해,2004-08,29.94,31.013,4.62,0.02,0.18,4.7,5.72
남해,2004-08,29.65,30.364,4.95,,,,
남해,2004-08,28.82,30.802,5.0,0.04,0.17,2.42,4.58
남해,2004-08,28.58,31.033,4.82,,,,
동해,2004-08,22.76,32.943000000000005,5.04,0.04,,5.0,3.96
동해,2004-08,24.34,32.998000000000005,4.21,,,,
동해,2004-08,25.32,33.056,4.66,0.01,0.01,4.29,7.25
동해,2004-08,25.02,33.346,4.21,,,,
동해,2004-08,25.06,33.396,4.68,0.06,0.07,4.21,5.46
동해,2004-08,24.8,33.555,4.18,,,,
동해,2004-08,24.03,33.251,4.72,0.18,0.14,3.43,4.64
서해,2004-08,29.85,31.561,4.46,0.6,0.08,1.2,4.33
동해,2004-08,25.95,33.986,4.68,0.09,0.36,4.64,7.39
동해,2004-08,26.14,33.667,4.19,,,,
동해,2004-08,26.96,33.824,4.24,0.24,0.07,4.21,1.82
동해,2004-08,23.21,33.75,4.03,,,,
서해,2004-08,27.67,32.525,,,,,
동해,2004-08,25.7,33.369,4.13,0.09,0.07,4.21,1.46
