Observation Date,Phosphate Phosphorus,Nitrous Acid Nitrogen,Nitric Acid Nitrogen,Silicic Acid Silicon,Probability
2004-12-07,0.16,1.08,4.85,7.31,0.0199
2004-12-07,0.29,0.95,8.6,7.74,0.0124
2004-12-07,0.27,1.04,3.82,6.46,0.0274
2004-12-08,0.36,0.96,5.68,7.84,0.0198
2004-12-08,0.47,0.26,5.85,8.22,0.0453
2004-12-08,0.02,0.54,4.4,11.15,0.0281
2004-12-08,0.68,0.25,3.9,8.65,0.0621
2004-12-08,0.5,0.34,5.16,6.29,0.0556
2004-12-09,0.75,0.33,4.97,7.11,0.0558
2004-12-09,0.34,0.6,6.85,7.51,0.0265
2004-12-09,0.43,0.55,6.67,6.98,0.0311
2004-12-09,0.37,0.37,8.05,11.23,0.0202
2004-12-09,0.72,0.01,2.87,11.49,0.0748
2004-12-09,0.75,0.48,6.31,13.53,0.0198
2004-12-09,0.63,0.31,5.6,13.04,0.0284
2004-12-09,0.36,0.34,1.27,9.18,0.0757
2004-12-09,0.37,0.3,1.85,9.76,0.0688
2004-12-10,0.5,0.47,2.48,11.47,0.0439
2004-12-10,0.42,0.24,0.59,8.42,0.1024
2004-12-10,0.8,0.22,4.14,15.78,0.0316
2004-12-10,0.8,0.22,4.14,15.78,0.0316
2004-12-11,0.59,0.4,9.77,12.17,0.0139
2004-12-11,0.8,0.43,6.65,10.86,0.0263
2004-12-11,0.8,0.44,0.8,10.98,0.0655
2004-12-11,0.49,0.49,7.56,8.0,0.0265
2004-12-11,0.31,0.27,4.34,6.59,0.0648
2004-12-12,0.6,0.7,5.31,5.97,0.0365
2004-12-12,0.41,0.53,4.01,7.01,0.0486
2004-12-12,0.35,0.71,6.92,10.32,0.0173
2004-12-12,0.74,0.5,14.2,17.1,0.0036
2004-12-12,0.57,0.31,9.33,11.55,0.0177
2004-12-12,0.51,0.46,10.88,13.44,0.0093
2004-12-13,0.4,0.48,1.64,7.45,0.0717
2004-12-13,0.26,0.66,3.08,8.23,0.0416
2004-12-13,0.7,0.64,7.89,11.61,0.015
2004-12-14,0.72,0.45,6.79,12.19,0.0217
2004-12-14,0.76,0.17,5.09,14.58,0.0323
2004-12-14,0.85,0.85,4.41,8.37,0.0289
2004-12-14,0.93,0.05,5.29,15.64,0.0336
2004-12-14,0.55,0.03,1.86,7.54,0.1192
2004-12-14,0.49,0.05,2.45,11.13,0.0758
2004-12-14,0.42,0.03,1.64,9.8,0.0983
2004-12-14,0.5,0.76,3.93,9.03,0.0308
2004-12-15,0.47,0.25,1.15,7.46,0.1024
2004-12-15,0.14,0.78,5.7,9.24,0.0207
2004-12-15,0.36,0.02,0.67,7.68,0.1375
2004-12-15,0.53,0.65,4.03,9.33,0.0339
2004-12-15,0.58,0.21,1.9,11.53,0.0666
2004-12-15,0.7,0.18,3.49,10.14,0.0627
2004-12-15,0.69,0.02,4.13,13.5,0.0498
2004-12-17,0.71,0.41,5.92,13.68,0.0226
2004-12-17,0.68,0.18,5.35,13.24,0.0344
2004-12-17,0.56,0.15,3.66,11.3,0.0554
2004-12-17,0.36,0.21,1.09,11.52,0.0729
2004-12-17,0.35,0.08,0.69,7.19,0.1337
2004-12-18,0.23,0.14,0.85,6.35,0.1292
2004-12-18,0.57,0.27,4.97,12.03,0.0361
2004-12-18,0.81,0.07,6.92,11.86,0.0358
2004-12-18,0.8,0.5,7.11,13.24,0.0176
2005-02-16,0.91,0.01,12.09,17.22,0.0099
2005-02-17,0.45,0.01,8.12,12.12,0.0292
2005-02-17,0.57,0.01,6.02,9.98,0.0514
2005-02-17,0.53,0.01,4.12,7.65,0.0857
2005-02-17,0.37,0.01,3.53,7.08,0.0964
2005-02-17,0.4,0.01,2.63,4.94,0.1342
2005-02-17,1.08,0.26,16.13,12.72,0.006
2005-02-17,0.25,0.01,3.14,5.53,0.1154
2005-02-17,0.95,0.24,13.7,10.8,0.0109
2005-02-17,0.88,0.26,8.71,11.91,0.0213
2005-02-17,0.74,0.24,5.99,10.45,0.0383
2005-02-18,0.86,0.29,3.69,6.58,0.0766
2005-02-18,0.61,0.02,11.21,17.1,0.0108
2005-02-18,0.91,0.34,6.64,12.11,0.0266
2005-02-18,0.6,0.01,10.79,17.55,0.0112
2005-02-18,0.95,0.46,8.2,12.81,0.0166
2005-02-18,1.02,0.44,9.61,11.46,0.0157
2005-02-18,1.05,0.33,10.31,12.26,0.0149
2005-02-21,0.31,0.01,3.67,6.43,0.0992
2005-02-21,0.26,0.01,4.73,5.55,0.0909
2005-02-21,0.34,0.01,3.73,5.99,0.1028
2005-02-21,0.34,0.99,11.37,7.54,0.0077
2005-02-21,0.37,0.01,3.92,6.14,0.099
2005-02-21,0.37,0.01,4.37,5.92,0.0944
2005-02-21,0.34,0.63,4.52,6.26,0.0421
2005-02-21,0.27,0.01,3.05,7.21,0.1007
2005-02-21,1.18,0.41,10.04,12.55,0.014
2005-02-21,0.25,0.01,2.78,5.39,0.1232
2005-02-21,0.42,0.8,10.43,8.85,0.0101
2005-02-21,1.09,0.33,9.59,11.87,0.0175
2005-02-21,0.31,0.61,6.76,6.98,0.0279
2005-02-21,0.43,0.01,5.74,8.75,0.0591
2005-02-21,1.1,0.32,7.46,12.83,0.0229
2005-02-21,0.29,0.76,8.7,7.46,0.0159
2005-02-22,1.02,0.31,8.51,13.11,0.0187
2005-02-22,0.26,0.5,4.1,5.89,0.054
2005-02-22,0.26,0.62,6.84,6.79,0.0274
2005-02-22,0.4,0.01,4.2,7.96,0.0806
2005-02-22,0.32,0.68,7.86,6.9,0.0215
2005-02-22,0.73,0.01,3.63,6.72,0.1039
2005-02-22,0.29,0.01,3.68,5.1,0.1115
2005-02-22,0.4,0.01,4.05,6.39,0.0954
2005-02-22,0.36,0.77,7.2,6.48,0.0225
2005-02-22,0.33,0.01,3.73,6.11,0.1016
2005-02-22,0.33,0.01,4.27,6.16,0.0932
2005-02-22,0.18,0.01,4.09,6.11,0.0939
2005-02-24,0.51,0.48,7.75,6.53,0.0302
2005-02-24,0.22,0.63,7.24,9.9,0.0185
2005-02-24,1.07,0.39,10.28,14.6,0.011
2005-02-24,0.11,0.58,7.07,9.35,0.021
2005-02-24,1.12,0.26,9.71,14.54,0.0145
2005-02-24,1.14,0.25,8.52,12.87,0.0211
2005-02-25,1.01,0.26,8.35,11.45,0.0241
2005-02-25,1.09,0.32,8.97,11.2,0.021
2005-02-27,0.28,0.34,7.37,6.1,0.0383
2005-02-27,0.28,0.49,9.15,6.41,0.0231
2005-02-27,0.28,0.43,4.7,4.79,0.0596
2005-02-27,0.92,0.42,8.16,9.52,0.0243
2005-02-27,0.38,0.44,8.8,3.92,0.0339
2005-02-27,0.25,0.64,8.28,5.14,0.0249
2005-02-27,1.0,0.33,7.55,9.62,0.0301
2005-02-27,1.09,0.25,9.93,13.33,0.0159
2005-02-27,0.24,0.74,7.76,5.85,0.0222
2005-02-27,0.15,0.41,8.81,6.86,0.0252
2005-02-28,0.18,0.39,13.34,7.54,0.0116
2005-02-28,0.22,0.59,7.45,4.85,0.031
2005-02-28,0.99,0.3,10.43,12.97,0.014
2005-02-28,0.12,0.29,12.63,7.48,0.0147
2005-02-28,0.23,0.46,6.29,5.01,0.0434
2005-02-28,1.24,0.24,9.5,14.42,0.0159
2005-02-28,0.22,0.37,4.46,5.45,0.0619
2005-02-28,1.1,0.24,9.33,13.49,0.0175
2005-02-28,0.87,0.29,8.07,11.49,0.0237
2005-02-28,0.27,0.37,6.02,6.22,0.0453
2005-02-28,0.09,0.25,7.3,5.17,0.046
2005-02-28,0.26,0.24,8.14,3.56,0.049
2005-02-28,0.16,0.28,6.51,4.98,0.0518
2005-02-28,0.3,0.53,13.3,8.62,0.0089
2005-02-28,0.12,0.34,6.28,6.74,0.0418
2005-02-28,0.28,0.24,5.54,5.2,0.0632
2005-03-01,0.35,0.32,8.36,5.44,0.0362
2005-03-01,0.21,0.34,6.78,4.66,0.0479
2005-03-02,0.25,0.36,8.51,5.79,0.0319
2005-03-02,0.41,0.26,7.71,7.02,0.0374
2005-03-02,0.39,0.35,10.01,8.04,0.0207
2005-03-02,0.22,0.37,9.57,8.29,0.0206
2005-03-02,0.23,0.54,13.06,7.42,0.0102
2005-03-08,0.16,0.43,8.08,5.45,0.0319
2005-03-08,0.19,0.26,6.59,4.98,0.0526
2005-03-08,0.32,0.28,6.9,3.08,0.06
2005-03-14,0.19,0.41,16.15,5.69,0.0085
2005-03-14,0.06,0.3,13.13,3.13,0.0204
2005-03-15,0.08,0.17,8.23,2.51,0.0565
2005-03-15,0.13,0.25,12.86,6.61,0.0163
2005-03-15,0.18,0.25,15.89,4.65,0.0121
2005-03-15,0.19,0.4,16.8,6.23,0.0074
2005-03-15,0.21,0.36,13.32,6.41,0.0136
2005-03-15,0.24,0.31,10.22,6.87,0.0231
2005-03-16,0.17,0.41,11.1,6.31,0.0184
2005-03-17,0.17,0.36,13.96,5.58,0.0132
2005-03-17,0.23,0.51,14.37,5.87,0.01
2005-03-17,0.06,0.22,5.02,3.88,0.0768
2005-03-17,0.14,0.25,5.08,4.74,0.0685
2005-03-17,0.15,0.71,12.35,9.21,0.0076
2005-03-31,0.21,0.43,10.11,6.35,0.0212
2005-03-31,0.23,0.46,8.01,6.45,0.0285
2005-03-31,0.26,0.79,4.67,7.33,0.0299
2005-03-31,0.13,0.23,2.35,3.01,0.1243
2005-03-31,0.12,0.36,1.96,2.14,0.1226
2005-03-31,0.24,0.67,4.73,7.14,0.0349
2005-04-01,0.23,0.63,5.33,6.46,0.0356
2005-04-01,0.23,0.67,9.53,8.76,0.0135
2005-04-01,0.19,0.29,3.75,4.11,0.0858
2005-04-01,0.39,0.34,8.04,11.21,0.0211
2005-04-01,0.21,0.66,9.1,8.64,0.0148
2005-04-01,0.19,0.7,7.84,7.6,0.0192
2005-04-02,0.2,1.09,5.86,5.93,0.0192
2005-04-02,0.18,0.6,3.37,6.12,0.0517
2005-04-02,0.33,0.69,4.8,6.87,0.0351
2005-04-02,0.15,0.34,9.42,9.13,0.0199
2005-04-02,0.21,0.67,3.37,5.37,0.0513
2005-04-03,0.16,0.48,6.83,7.52,0.0299
2005-04-03,0.22,0.53,4.84,14.93,0.0188
2005-04-03,0.35,0.41,7.02,9.49,0.0269
2005-04-03,0.22,0.53,4.84,14.93,0.0188
2005-04-03,0.25,0.34,3.98,7.67,0.0562
2005-04-03,0.22,0.41,6.26,7.76,0.0354
2005-04-05,0.16,0.47,3.0,4.43,0.0752
2005-04-05,0.16,0.47,3.0,4.43,0.0752
2005-04-05,0.24,0.43,6.88,7.15,0.0332
2005-04-05,0.26,0.41,7.56,7.88,0.0285
2005-04-12,0.04,0.29,1.44,3.7,0.123
2005-04-12,0.26,0.45,3.5,6.1,0.0618
2005-04-12,0.53,0.22,0.23,3.11,0.1787
2005-04-12,0.26,0.17,0.51,3.16,0.1737
2005-04-13,0.86,0.13,16.86,8.83,0.0089
2005-04-13,0.71,0.16,12.11,7.43,0.021
2005-04-13,0.85,0.11,6.36,2.95,0.0882
2005-04-14,1.12,0.19,8.66,8.49,0.0342
2005-04-14,1.16,0.19,5.47,0.74,0.1181
2005-04-14,1.1,0.11,2.82,3.84,0.143
2005-04-14,0.33,0.14,0.28,2.22,0.2019
2005-04-14,0.84,0.07,3.24,3.87,0.135
2005-04-14,0.16,0.28,0.92,3.86,0.1348
2005-04-14,0.84,0.13,9.48,5.71,0.0405
2005-04-14,0.99,0.15,11.88,6.88,0.0245
2005-04-14,0.23,0.53,1.5,5.59,0.08
2005-04-15,1.0,0.27,9.84,4.18,0.0383
2005-04-15,1.13,0.25,10.05,5.8,0.0331
2005-04-15,0.69,0.11,4.45,2.74,0.1168
2005-04-15,0.41,0.34,3.15,4.47,0.0889
2005-04-15,1.18,0.18,4.07,7.17,0.0821
2005-04-15,0.09,0.46,0.54,3.51,0.1187
2005-04-15,1.09,0.2,6.34,1.04,0.0987
2005-04-16,0.22,0.53,3.1,6.02,0.0598
2005-04-16,0.6,0.39,10.39,10.87,0.0145
2005-04-16,0.2,0.33,0.56,5.0,0.1221
2005-04-16,1.4,0.28,11.61,13.11,0.0125
2005-04-16,1.45,0.32,9.7,12.83,0.0169
2005-04-16,1.39,0.18,9.77,7.65,0.0329
2005-04-16,0.79,0.33,12.53,10.34,0.012
2005-04-16,0.13,0.31,0.09,4.06,0.1437
2005-04-17,0.1,0.19,0.34,3.23,0.169
2005-04-17,0.16,0.22,0.27,3.85,0.1581
2005-04-17,0.17,0.17,0.84,2.64,0.1711
2005-04-17,0.67,0.37,12.13,16.66,0.0063
2005-04-17,1.13,0.11,11.17,10.14,0.0214
2005-04-18,0.53,0.21,7.59,10.03,0.0308
2005-04-18,1.0,0.45,7.95,7.48,0.03
2005-04-18,0.58,0.38,11.73,11.18,0.0113
2005-04-18,0.79,0.18,7.94,8.17,0.038
2005-04-21,0.46,0.31,2.39,6.96,0.0827
2005-04-21,0.03,0.19,0.23,2.75,0.1769
2005-04-21,0.11,0.2,1.48,3.72,0.1366
2005-04-24,0.07,0.08,0.47,5.18,0.1576
2005-04-24,0.21,0.33,1.76,6.59,0.0884
2005-04-24,0.13,0.09,0.18,3.76,0.1846
2005-04-24,0.24,0.4,3.08,5.35,0.075
2005-04-25,0.14,0.11,0.3,2.57,0.1965
2005-04-25,0.06,0.09,0.2,3.08,0.1928
2005-04-25,0.06,0.16,1.42,2.88,0.1537
2005-04-25,0.22,0.1,0.88,4.46,0.1583
2005-05-03,0.42,0.25,4.29,4.25,0.0849
2005-05-03,0.15,0.26,1.55,6.56,0.0984
2005-05-03,0.18,0.06,1.18,8.71,0.1082
2005-05-03,0.08,0.06,0.88,6.69,0.1334
2005-05-03,0.1,0.05,2.1,4.73,0.1348
2005-05-03,0.07,0.12,2.88,4.45,0.1134
2005-05-03,0.05,0.06,3.43,2.81,0.1293
2005-05-03,0.18,0.06,1.29,3.71,0.1654
2005-05-04,0.03,0.11,2.18,4.16,0.1296
2005-05-04,0.06,0.11,1.4,3.32,0.1567
2005-05-04,0.34,0.06,1.07,3.9,0.1718
2005-05-04,0.27,0.06,1.33,4.32,0.1582
2005-05-04,0.34,0.09,4.35,3.8,0.1043
2005-05-04,0.34,0.09,4.35,3.8,0.1043
2005-05-04,0.08,0.17,4.2,10.55,0.0492
2005-05-04,0.19,0.03,3.09,3.38,0.1364
2005-05-04,0.19,0.03,3.09,3.38,0.1364
2005-05-04,0.1,0.04,3.97,5.32,0.0981
2005-05-04,0.14,0.07,1.77,6.01,0.1242
2005-05-04,0.18,0.04,2.92,7.42,0.0959
2005-05-04,0.75,0.07,4.04,7.39,0.0858
2005-05-04,0.01,0.1,2.85,3.23,0.1288
2005-05-04,0.73,0.16,7.41,8.85,0.0393
2005-05-04,0.08,0.17,4.2,10.55,0.0492
2005-05-05,0.14,0.31,7.48,3.93,0.0472
2005-05-05,0.38,0.1,1.4,4.1,0.1554
2005-05-05,0.17,0.03,1.64,8.88,0.1028
2005-05-05,0.18,0.04,1.47,9.12,0.1021
2005-05-05,0.12,0.15,4.86,11.13,0.0432
2005-05-05,0.16,0.07,2.42,7.95,0.0949
2005-05-05,0.29,0.06,3.54,6.36,0.0958
2005-05-05,0.17,0.12,3.08,6.34,0.0941
2005-05-15,0.0349,0.106,1.5854,8.9811,0.092
2005-06-08,0.1,0.28,11.08,7.01,0.02
2005-06-08,0.23,0.24,7.99,6.07,0.0391
2005-06-08,0.24,0.31,9.15,6.27,0.0292
2005-06-08,0.1,0.25,9.89,8.24,0.0224
2005-06-08,0.27,0.27,7.21,6.57,0.0409
2005-06-09,0.24,0.28,7.99,6.18,0.0368
2005-06-09,0.3,0.48,9.94,4.58,0.0247
2005-06-09,0.11,0.4,6.04,5.58,0.045
2005-06-09,0.12,0.32,6.2,5.86,0.0472
2005-06-09,0.76,0.26,6.49,1.76,0.0798
2005-06-09,0.1,0.37,8.25,6.72,0.0292
2005-06-09,0.06,0.29,10.33,8.1,0.0199
2005-06-09,0.54,0.12,3.05,1.41,0.1554
2005-06-09,0.23,0.25,7.49,6.7,0.0393
2005-06-09,0.8,0.14,0.68,1.43,0.2178
2005-06-09,0.24,0.08,0.31,1.38,0.2257
2005-06-09,0.18,0.13,1.01,0.54,0.2076
2005-06-10,0.06,0.09,1.42,3.93,0.1515
2005-06-10,0.27,0.12,0.97,0.7,0.2108
2005-06-10,0.05,0.17,0.65,3.28,0.1635
2005-06-10,0.32,0.14,0.71,1.43,0.203
2005-06-10,0.21,0.12,0.73,5.34,0.1464
2005-06-10,0.03,0.11,0.37,3.43,0.1784
2005-06-10,0.75,0.09,0.33,0.58,0.2539
2005-06-10,0.03,0.04,0.29,2.94,0.202
2005-06-12,0.2,0.14,3.63,5.0,0.0961
2005-06-12,0.2,0.23,2.36,4.12,0.1136
2005-06-12,0.05,0.3,0.34,1.98,0.1658
2005-06-12,0.06,0.26,1.17,2.63,0.1458
2005-06-12,0.17,0.26,2.7,0.52,0.1432
2005-06-12,0.18,0.34,2.2,4.25,0.1009
2005-06-12,0.03,0.03,1.17,2.84,0.1828
2005-06-12,0.47,0.12,0.7,3.43,0.1798
2005-06-12,0.16,0.38,4.58,5.55,0.0588
2005-06-12,0.24,0.19,0.47,3.41,0.1669
2005-06-12,0.15,0.14,2.4,5.59,0.1087
2005-06-12,0.1,0.15,0.85,3.85,0.1559
2005-06-12,1.06,0.28,10.8,9.72,0.0189
2005-06-12,0.21,0.29,3.33,5.65,0.0795
2005-06-12,0.84,0.12,14.91,10.8,0.0102
2005-06-12,0.04,0.06,0.46,3.39,0.1867
2005-06-13,0.2,0.35,10.04,6.73,0.0228
2005-06-13,0.67,0.24,6.96,7.98,0.0412
2005-06-13,0.02,0.09,0.63,2.77,0.1855
2005-06-13,0.24,0.2,0.53,4.17,0.1534
2005-06-13,0.32,0.35,5.66,6.21,0.0496
2005-06-13,0.79,0.54,6.89,11.06,0.0216
2005-06-13,0.22,0.15,2.35,5.39,0.1115
2005-06-13,0.08,0.07,0.42,2.14,0.2069
2005-06-13,0.13,0.45,7.35,7.37,0.0289
2005-06-13,1.62,0.23,10.8,9.7,0.0222
2005-06-13,0.15,0.21,2.2,6.14,0.0982
2005-06-13,0.45,0.49,0.23,3.82,0.1235
2005-06-14,0.13,0.44,6.67,6.11,0.0369
2005-06-14,0.16,0.16,4.75,7.89,0.0598
2005-06-16,0.66,0.18,2.41,2.88,0.1429
2005-06-16,0.84,0.24,0.89,3.93,0.1558
2005-06-16,0.29,0.28,0.49,4.02,0.1442
2005-06-16,0.3,0.16,0.6,5.22,0.1462
2005-06-16,0.91,0.19,0.56,3.99,0.173
2005-06-17,0.46,0.15,0.3,3.67,0.1801
2005-06-22,0.03,0.09,0.42,2.98,0.1879
2005-06-23,0.08,0.15,0.68,5.32,0.1401
2005-06-23,0.11,0.12,0.59,3.67,0.1698
2005-06-24,0.05,0.11,0.16,3.75,0.1793
2005-06-24,0.08,0.16,0.5,5.38,0.1415
2005-06-24,0.07,0.2,0.76,4.85,0.1363
2005-06-24,0.07,0.2,1.32,4.03,0.1352
2005-06-24,0.08,0.18,1.53,3.44,0.1414
2005-06-24,0.06,0.18,0.67,3.2,0.1626
2005-06-24,0.03,0.15,0.79,5.32,0.1369
2005-06-25,0.03,0.24,1.66,6.17,0.1007
2005-06-25,0.12,0.34,1.86,8.44,0.0713
2005-06-25,0.04,0.11,0.66,5.49,0.1439
2005-06-25,0.06,0.17,1.37,4.4,0.1341
2005-06-25,0.03,0.1,0.71,3.84,0.1662
2005-06-25,0.05,0.11,0.4,2.63,0.1904
2005-06-25,0.03,0.09,0.79,2.87,0.1803
2005-08-02,0.35,0.13,7.58,8.3,0.0392
2005-08-02,0.32,0.12,5.28,9.97,0.0485
2005-08-05,0.55,0.47,4.14,3.13,0.0759
2005-08-05,0.4,0.31,3.83,4.99,0.0789
2005-08-05,0.26,0.06,1.38,3.23,0.1721
2005-08-05,0.28,0.01,1.31,1.92,0.2046
2005-08-05,0.28,0.08,0.92,1.97,0.1998
2005-08-05,0.47,0.13,1.04,1.77,0.1949
2005-08-06,0.55,0.15,0.93,1.42,0.2016
2005-08-06,0.36,0.15,1.33,1.94,0.1781
2005-08-06,0.28,0.08,1.36,2.34,0.1826
2005-08-06,0.28,0.07,1.22,2.2,0.1903
2005-08-06,0.25,0.13,1.96,4.7,0.129
2005-08-06,0.37,0.2,2.22,9.84,0.0727
2005-08-08,0.31,0.21,5.4,8.0,0.0515
2005-08-08,0.45,0.21,8.83,10.1,0.0247
2005-08-09,0.28,0.2,0.82,1.02,0.1933
2005-08-09,0.1,0.65,12.19,13.15,0.0056
2005-08-09,0.55,0.47,1.97,2.7,0.1098
2005-08-09,0.19,0.51,5.39,8.84,0.0321
2005-08-09,0.19,0.11,6.89,2.49,0.0763
2005-08-09,0.18,0.1,1.53,3.33,0.1582
2005-08-09,2.17,0.23,3.67,6.78,0.0999
2005-08-09,0.33,0.25,2.08,3.59,0.1238
2005-08-09,0.27,0.19,3.04,5.2,0.0984
2005-08-09,0.13,0.26,3.89,7.79,0.0609
2005-08-09,0.05,0.18,1.57,3.21,0.1428
2005-08-09,0.12,0.2,0.9,11.14,0.0758
2005-08-10,0.11,0.11,0.83,8.59,0.1076
2005-08-10,0.32,0.24,3.67,1.49,0.1194
2005-08-10,0.05,0.28,7.47,9.8,0.0272
2005-08-10,0.05,0.28,7.47,9.8,0.0272
2005-08-10,0.03,0.47,4.44,5.68,0.0521
2005-08-10,0.03,0.47,4.44,5.68,0.0521
2005-08-10,0.46,0.38,4.46,1.15,0.0952
2005-08-10,0.03,0.1,0.98,8.66,0.1044
2005-08-10,0.07,0.38,6.39,6.29,0.0405
2005-08-10,0.06,0.05,0.82,1.99,0.2021
2005-08-10,0.55,0.47,4.0,1.52,0.0901
2005-08-10,0.48,0.4,5.72,7.75,0.0408
2005-08-10,0.45,0.37,3.35,0.76,0.1177
2005-08-10,0.29,0.2,0.88,0.93,0.1934
2005-08-10,0.26,0.18,2.65,1.13,0.1514
2005-08-10,0.21,0.13,1.02,2.78,0.1731
2005-08-11,0.3,0.22,0.43,2.69,0.1742
2005-08-11,0.17,0.08,1.07,1.26,0.2043
2005-08-11,0.22,0.14,2.31,1.36,0.1617
2005-08-11,0.38,0.3,3.17,1.44,0.1217
2005-08-11,0.18,0.1,2.19,1.2,0.1729
2005-08-11,0.35,0.27,1.48,1.35,0.161
2005-08-11,0.74,0.66,6.04,1.06,0.0564
2005-08-12,0.3,0.22,1.08,1.49,0.1762
2005-08-12,0.3,0.22,0.43,2.54,0.1764
2005-08-12,0.03,0.99,2.71,5.54,0.0367
2005-08-12,0.47,0.39,2.66,0.9,0.1261
2005-08-12,0.03,1.13,0.47,7.43,0.0367
2005-08-12,0.4,0.32,1.85,1.08,0.1492
2005-08-12,0.04,0.08,0.81,1.86,0.1978
2005-08-12,0.04,0.08,0.81,1.86,0.1978
2005-08-12,0.07,0.03,0.71,6.24,0.1468
2005-08-12,0.13,0.28,4.88,3.09,0.0796
2005-08-12,0.14,0.18,0.5,5.97,0.1326
2005-08-12,0.13,0.25,6.56,7.96,0.0397
2005-08-12,0.1,0.34,4.47,6.74,0.0555
2005-08-13,0.05,0.04,0.61,3.88,0.1796
2005-08-13,0.13,0.37,7.18,4.86,0.0419
2005-08-13,0.04,0.55,6.01,2.44,0.0505
2005-08-13,0.97,0.15,2.86,5.07,0.1196
2005-08-13,0.97,0.15,2.86,5.07,0.1196
2005-08-13,0.26,0.1,1.21,5.2,0.1425
2005-08-13,0.18,0.13,1.06,2.83,0.1707
2005-08-13,0.39,0.08,1.38,4.54,0.1536
2005-08-13,0.27,0.1,2.37,4.19,0.132
2005-08-13,0.08,0.1,1.22,2.27,0.1781
2005-08-13,0.29,0.19,1.83,1.57,0.1626
2005-08-13,0.08,0.15,1.12,3.17,0.1586
2005-08-13,0.26,0.33,6.6,3.09,0.0586
2005-08-13,0.35,0.08,0.9,1.43,0.2113
2005-08-13,0.29,0.12,1.03,1.1,0.2031
2005-08-13,0.25,0.21,8.51,4.33,0.0444
2005-08-13,0.12,0.21,4.64,3.24,0.0883
2005-08-13,0.25,0.2,7.16,4.7,0.0537
2005-08-13,0.27,0.16,1.44,2.25,0.1669
2005-08-14,0.56,0.15,1.0,2.1,0.1892
2005-08-14,0.36,0.12,1.02,2.25,0.1869
2005-08-14,0.54,0.12,1.01,2.26,0.1918
2005-08-14,0.27,0.11,1.57,3.09,0.161
2005-08-14,0.28,0.09,0.63,3.0,0.1889
2005-08-14,0.3,0.09,0.76,4.71,0.1612
2005-08-14,0.3,0.14,0.56,4.51,0.1598
2005-08-14,0.27,0.13,1.06,3.19,0.1678
2005-08-15,0.34,0.58,1.46,2.73,0.1007
2005-08-15,0.07,0.21,3.62,5.22,0.0851
2005-08-15,0.16,0.19,2.14,4.98,0.1129
2005-08-15,0.29,0.23,1.38,2.96,0.1472
2005-08-15,0.27,0.14,0.72,2.85,0.179
2005-08-16,0.29,0.06,1.16,2.59,0.1879
2005-08-16,0.4,0.06,1.58,3.99,0.1602
2005-08-16,0.87,0.17,2.04,4.17,0.1405
2005-08-16,0.36,0.09,1.1,4.23,0.1615
2005-08-16,0.41,0.21,2.78,6.15,0.0937
2005-08-18,0.02,0.18,1.23,1.58,0.1716
2005-08-18,0.03,0.04,0.55,2.66,0.1996
2005-08-18,0.05,0.03,0.8,2.44,0.1992
2005-08-26,0.02,0.16,1.35,3.44,0.147
2005-08-26,0.03,0.1,0.57,3.01,0.1817
2005-08-27,0.17,0.18,0.97,1.96,0.176
2005-08-27,0.05,0.1,1.29,1.17,0.1924
2005-08-27,0.04,0.04,0.86,2.37,0.1964
2005-08-27,0.06,0.08,0.78,3.27,0.1772
2005-08-27,0.04,0.04,0.58,3.81,0.1811
2005-08-27,0.02,0.05,0.44,1.66,0.2171
2005-08-28,0.07,0.2,0.49,1.81,0.1837
2005-08-28,0.04,0.04,0.52,1.69,0.2171
2005-08-28,0.16,0.56,3.97,0.14,0.087
2005-08-28,0.16,0.1,0.37,2.15,0.2041
2005-08-28,0.12,0.18,0.43,2.68,0.1772
2005-08-28,0.13,0.2,0.42,5.36,0.1382
2005-08-28,0.1,0.2,0.43,3.82,0.157
2005-08-28,0.1,0.2,0.53,2.53,0.1728
2005-08-29,0.13,0.1,1.58,2.45,0.1681
2005-10-09,0.7,1.28,10.68,7.23,0.0065
2005-10-09,0.5,0.35,4.03,7.46,0.0586
2005-10-09,0.18,0.12,3.51,5.98,0.0913
2005-10-09,0.22,0.03,2.17,6.4,0.1198
2005-10-10,0.04,0.1,0.75,4.57,0.1555
2005-10-10,0.65,0.25,5.47,7.54,0.0537
2005-10-10,0.24,0.13,4.03,6.78,0.0781
2005-10-10,0.26,0.1,1.85,2.6,0.1629
2005-10-10,0.41,0.42,3.35,6.85,0.0626
2005-10-11,0.4,0.15,2.83,2.99,0.1324
2005-10-11,0.3,0.09,1.71,1.86,0.1798
2005-10-11,0.3,0.09,1.71,1.86,0.1798
2005-10-11,0.29,0.07,1.65,2.81,0.1707
2005-10-11,0.19,0.05,1.97,5.78,0.1269
2005-10-11,0.22,0.07,3.27,5.97,0.101
2005-10-12,0.22,0.06,5.94,6.43,0.065
2005-10-12,0.23,0.07,2.68,5.17,0.1188
2005-10-12,0.4,0.23,9.11,6.93,0.0312
2005-10-12,0.66,0.51,15.69,9.56,0.006
2005-10-12,0.64,0.28,9.49,7.29,0.0277
2005-10-13,0.44,1.51,5.44,9.98,0.0084
2005-10-13,0.37,0.67,5.47,10.62,0.0224
2005-10-13,0.17,1.02,6.16,9.3,0.0142
2005-10-13,0.08,0.59,3.34,7.18,0.0467
2005-10-13,0.24,0.04,2.23,3.9,0.1469
2005-10-13,0.11,0.56,5.56,14.2,0.017
